x,y,theta,vy,theta_dot,input,cost,x,.y
79.5086,-127.497,3.30793,-0.104872,0.301699,-0.194286,49.2184,85.3688,-131.302
132.235,304.685,1.71092,-0.0814499,0.203205,-0.194286,134.447,128.46,298.702
97.1111,310.595,2.39804,-0.0285753,0.0679092,0,190.758,104.386,303.738
259.714,-111.254,6.13651,0.147923,-1.21518,0.0971429,141.839,252.911,-112.8
81.6835,-131.939,4.59029,-0.272419,2.49995,-0.291429,387.927,85.3688,-131.302
-208.786,94.4687,2.8491,0.228217,-2.1118,0.242857,52.7473,-205.045,97.6095
-210.305,94.5918,0.846952,-0.579024,7.17022,-1.02,300.956,-208.786,94.4687
82.4113,-135.684,3.61464,0.241264,-2.00588,0.34,67.062,81.6835,-131.939
-172.76,94.1605,4.81666,-0.186598,2.08257,-0.145714,127.031,-169.913,99.307
-210.402,92.9805,2.06789,0.181934,1.802,0.631429,245.838,-210.305,94.5918
253.104,-121.541,5.49572,0.167208,-1.57547,0.145714,123.006,246.829,-120.341
253.81,-129.655,5.29487,-0.0470997,-0.137258,-0.145714,326.941,253.104,-121.541
-213.32,97.2585,5.07089,-0.198088,6.84207,0.34,311.773,-210.305,94.5918
129.45,314.051,1.76668,-0.00631504,-0.091663,0.0485714,94.0635,132.235,304.685
261.351,-135.864,5.57237,-0.0520105,0.332457,0,299.226,253.81,-129.655
-218.212,99.7521,0.550263,0.160274,3.55144,0.291429,224.499,-213.32,97.2585
278.458,256.577,0.524182,-0.00147515,0.213886,0,72.4298,270.02,251.171
-222.012,101.97,2.27905,0.0131616,3.94933,-0.0485716,284.499,-218.212,99.7521
270.336,-135.501,6.18781,-0.0684732,0.973593,0,13.7056,261.351,-135.864
248.971,72.0499,6.09664,0.206413,-1.52772,0.291429,246.377,245.938,68.1272
77.9762,-137.122,4.53472,-0.209378,1.91305,-0.291429,234.836,82.4113,-135.684
-143.638,139.486,2.5318,-0.118447,0.357384,-0.194286,275.581,-142.29,132.691
285.916,263.226,0.672167,-0.00660538,0.283793,0,52.0557,278.458,256.577
-227.804,102.425,1.91487,0.293718,0.00480488,0.194286,368.114,-222.012,101.97
294.197,265.538,0.199412,0.07942,-0.791826,0.0485714,83.4161,285.916,263.226
-230.125,108.328,2.41384,-0.0238863,1.64376,-0.194286,309.461,-227.804,102.425
-239.565,106.484,2.94259,0.0282775,1.09599,0.0485714,149.833,-230.125,108.328
-19.1539,100.434,5.06459,-0.169081,2.5836,-0.145714,25.854,-18.0911,105.858
133.163,320.984,1.05215,0.0882972,-1.26505,0.0485714,138.132,129.45,314.051
78.8543,-142.997,3.9416,0.166052,-1.28634,0.242857,361.395,77.9762,-137.122
247.293,68.7644,2.72535,0.570204,-6.86022,1.02,55.4922,245.938,68.1272
-146.764,144.99,1.5837,0.130888,-1.89902,0.145714,86.7012,-143.638,139.486
-214.389,91.224,3.89561,-0.104892,3.91238,-0.145714,236.549,-210.402,92.9805
230.4,255.228,2.57642,-0.0586482,-1.90286,-0.145714,54.5193,231.401,247.009
-247.75,101.78,3.42308,0.00810756,1.0704,0,124.863,-239.565,106.484
-212.801,85.5926,3.75582,0.244281,0.0760742,0.242857,179.749,-214.389,91.224
-244.673,110.435,2.01802,0.194501,-1.35615,0.0971429,140.151,-239.565,106.484
148.436,-56.3054,5.20632,-0.164429,1.94966,-0.097143,24.6405,147.709,-50.1883
273.356,-138.512,4.57368,0.263705,-2.81867,0.194286,302.989,270.336,-135.501
71.5459,-127.252,2.90792,0.0569089,-0.926345,0.0971429,131.816,79.5086,-127.497
263.81,-142.386,4.78295,0.117946,-1.4526,0.0971429,118.541,261.351,-135.864
-251.42,93.4751,4.04359,-0.0149223,1.25436,0,377.152,-247.75,101.78
88.1612,314.669,2.66291,-0.0350029,0.39113,0,210.923,97.1111,310.595
229.213,-123.518,4.33694,0.127545,-2.13903,0.0971429,49.8856,229.771,-117.342
160.319,24.488,2.74337,0.201211,-2.10238,0.291429,8.28153,163.951,27.2628
-145.152,151.25,2.13373,-0.171276,1.00982,-0.194286,163.329,-146.764,144.99
80.2367,319.694,2.47867,0.0437544,-0.353483,0.0485714,278.604,88.1612,314.669
76.9414,-147.06,5.25948,-0.229211,2.51528,-0.242857,27.0884,78.8543,-142.997
81.0566,-149.865,4.56447,0.212796,-1.41601,0.291429,187.837,76.9414,-147.06
72.5067,325.185,2.61912,-0.0343716,0.306959,-0.0485716,212.407,80.2367,319.694
271.125,-141.784,5.41888,-0.244937,1.70975,-0.34,148.527,273.356,-138.512
-216.056,80.6048,4.68004,-0.0827313,2.25618,-0.194286,62.3694,-212.801,85.5926
65.3339,331.041,2.37629,0.0464069,-0.465634,0.0485714,154.416,72.5067,325.185
-253.175,83.8552,4.25446,0.0476198,0.512466,0.0485714,251.41,-251.42,93.4751
-245.743,117.046,2.42132,-0.109333,1.00843,-0.194286,165.357,-244.673,110.435
77.6326,-148.356,1.17942,0.577941,-6.77174,1.02,120.101,76.9414,-147.06
-257.325,74.7855,4.21247,0.0440616,0.1321,0,283.96,-253.175,83.8552
63.7024,-125.916,3.28139,-0.0988452,0.658145,-0.097143,35.1318,71.5459,-127.252
80.2352,-155.318,5.44305,-0.172602,1.8628,-0.242857,141.623,81.0566,-149.865
-170.486,88.8364,4.15536,0.188728,-1.31755,0.242857,96.1749,-172.76,94.1605
276.659,-144.462,4.97062,0.12936,-1.16206,0.242857,220.12,271.125,-141.784
-264.089,73.2826,3.25035,0.142149,-1.52406,0.0485714,130.986,-257.325,74.7855
-254.225,120.033,2.50572,0.0357754,0.00446173,0.0971429,224.245,-245.743,117.046
254.383,67.8102,0.0200372,-0.0918026,0.669471,-0.194286,43.3297,248.971,72.0499
100.098,132.11,1.25582,0.265531,-1.49197,0.0971429,11.9204,101.819,126.687
299.397,269.002,1.17317,-0.16668,1.77353,-0.145714,255.084,294.197,265.538
140.414,326.238,0.967149,-0.0545592,-0.100419,-0.097143,161.4,133.163,320.984
-259.91,128.02,2.23123,0.0417816,-0.377564,0,294.23,-254.225,120.033
